price,distance,engine,city_mileage,highway_mileage
"75,000","3,078 miles",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
,,,,
"50,000","32,805 miles",6.2L 8-Cylinder Gas Engine,16 City,20 Highway
"66,500","14,920 miles",5.3L 8-Cylinder Gas Engine,15 City,20 Highway
"29,990","12,625 miles- Low Mileage",2.0L 4-Cylinder Turbo Gas Engine,22 City,30 Highway
"32,990","32,925 miles- Low Mileage",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"46,990","73,732 miles",5.3L 8-Cylinder Gas Engine,15 City,20 Highway
"47,990","19,620 miles",3.0L 6-Cylinder Turbo Diesel Engine,16 City,21 Highway
"24,965","31,025 miles",3.6L 6-Cylinder Gas Engine,19 City,29 Highway
"30,052","81,770 miles- Low Mileage",3.6L 6-Cylinder Gas Engine,17 City,25 Highway
"31,000","11,450 miles",2.5L 4-Cylinder Gas Engine,19 City,25 Highway
"39,991","46,018 miles- Low Mileage",7.0L 8-Cylinder Gas Engine,15 City,24 Highway
,,,,
"53,645","17,496 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"64,970","4,361 miles- Low Mileage",3.0L 6-Cylinder Turbo Diesel Engine,18 City,21 Highway
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
,,,,
,,,,
"12,995","110,259 miles",5.7L 8-Cylinder Gas Engine,16 City,24 Highway
,,,,
"19,898","41,894 miles- Low Mileage",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"35,599","54,975 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
,,,,
"33,900","19,692 miles",3.6L 6-Cylinder Gas Engine,18 City,25 Highway
,,,,
,,,,
"40,995","82,347 miles- Low Mileage",5.3L 8-Cylinder Gas Engine,15 City,22 Highway
"19,400","9,591 miles",1.4L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
,,,,
,,,,
,,,,
"36,000","10,998 miles",2.7L 4-Cylinder Turbo Gas Engine,19 City,22 Highway
"44,500","7,225 miles",3.6L 6-Cylinder Gas Engine,19 City,26 Highway
,,,,
"42,511","6,726 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"81,788","7,219 miles",6.2L 8-Cylinder Gas Engine,14 City,18 Highway
,,,,
"23,990","39,580 miles",2.5L 4-Cylinder Gas Engine,20 City,26 Highway
"24,994","61,183 miles",5.3L 8-Cylinder Gas Engine,17 City,22 Highway
