price,distance,engine,city_mileage,highway_mileage
"23,990","39,580 miles",2.5L 4-Cylinder Gas Engine,20 City,26 Highway
"24,994","61,183 miles",5.3L 8-Cylinder Gas Engine,17 City,22 Highway
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
,,,,
,,,,
"29,984","51,385 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
,,,,
"29,821","87,000 miles",6.2L 8-Cylinder Gas Engine,15 City,24 Highway
"33,952","29,643 miles",3.6L 6-Cylinder Gas Engine,17 City,24 Highway
,,,,
"47,298","15,048 miles",6.2L 8-Cylinder Gas Engine,16 City,21 Highway
,,,,
"30,000","104,095 miles",5.3L 8-Cylinder Flexible Fuel Engine,15 City,22 Highway
"65,000","25,589 miles",5.3L 8-Cylinder Gas Engine,15 City,20 Highway
"69,500","22,102 miles",6.2L 8-Cylinder Gas Engine,14 City,20 Highway
"82,500","4,096 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"86,500","1,806 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
,,,,
,,,,
,,,,
"20,997","99,364 miles",3.6L 6-Cylinder Gas Engine,18 City,25 Highway
"18,977","131,319 miles",5.3L 8-Cylinder Flexible Fuel Engine,15 City,21 Highway
,,,,
"30,998","62,640 miles",5.3L 8-Cylinder Gas Engine,16 City,23 Highway
"24,498","20,830 miles",2.0L 4-Cylinder Turbo Gas Engine,20 City,30 Highway
,,,,
"20,000","28,324 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"24,000","20,235 miles",1.3L 3-Cylinder Turbo Gas Engine,29 City,33 Highway
"35,000","1,849 miles",2.0L 4-Cylinder Turbo Gas Engine,19 City,28 Highway
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
"55,899","13,540 miles",5.3L 8-Cylinder Gas Engine,16 City,20 Highway
"15,500","134,870 miles- Low Mileage",5.3L 8-Cylinder Flexible Fuel Engine,15 City,21 Highway
"21,896","27,804 miles- Low Mileage",1.5L 4-Cylinder Turbo Gas Engine,27 City,35 Highway
"41,700","48,609 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"46,700","1,828 miles",6.2L 8-Cylinder Gas Engine,16 City,26 Highway
,,,,
,,,,
,,,,
"22,500","52,241 miles",3.6L 6-Cylinder Gas Engine,19 City,28 Highway
"71,500","14,802 miles",5.3L 8-Cylinder Gas Engine,15 City,19 Highway
"72,000","3,760 miles",6.2L 8-Cylinder Supercharged Gas Engine,13 City,21 Highway
"16,990","14,011 miles",1.4L 4-Cylinder Turbo Gas Engine,29 City,40 Highway
"16,900","54,475 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,32 Highway
"23,594","30,465 miles",3.6L 6-Cylinder Gas Engine,19 City,29 Highway
,,,,
"19,564","33,350 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"36,505","92,867 miles",6.2L 8-Cylinder Gas Engine,16 City,20 Highway
"14,488","97,642 miles",2.4L 4-Cylinder Gas Engine,22 City,31 Highway
,,,,
,,,,
"71,888","33,698 miles- Low Mileage",6.2L 8-Cylinder Supercharged Gas Engine,13 City,23 Highway
"78,990","8,293 miles",6.2L 8-Cylinder Supercharged Gas Engine,13 City,21 Highway
"82,129","4,634 miles",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
,,,,
"36,500","10,989 miles",3.6L 6-Cylinder Gas Engine,18 City,27 Highway
"54,995","44,459 miles- Low Mileage",5.3L 8-Cylinder Gas Engine,16 City,20 Highway
"54,000","19,036 miles",6.2L 8-Cylinder Gas Engine,15 City,19 Highway
,,,,
"191,388","3,304 miles- Low Mileage",5.5L 8-Cylinder Gas Engine,12 City,21 Highway
,,,,
,,,,
"31,492","71,345 miles",5.3L 8-Cylinder Gas Engine,17 City,22 Highway
,,,,
,,,,
"33,963","80,115 miles",3.0L 6-Cylinder Turbo Diesel Engine,19 City,22 Highway
,,,,
"62,500","9,649 miles",6.2L 8-Cylinder Supercharged Gas Engine,14 City,20 Highway
